# Undirected graph (each unordered pair of nodes is saved once): n5.edgelist.txt
# Nodes: 100000 Edges: 144403
# NodeId	NodeId
0	28695
0	28994
0	63646
1	53213
2	2785
2	3412
2	7035
2	9392
2	12480
2	18196
2	24882
2	27438
2	37439
2	37566
2	40155
2	43633
2	48669
2	61311
2	73256
2	73997
2	79588
2	81707
2	81754
2	93882
3	46085
3	56144
3	66699
3	69668
4	18382
4	58954
5	45630
5	82010
5	84640
6	63797
7	28747
7	31721
7	40150
8	42961
9	28834
9	75706
10	64052
10	96733
11	35189
12	63558
13	6422
13	16030
13	94673
13	98237
14	19
14	3864
14	4438
14	4512
14	5643
14	6505
14	7439
14	8215
14	8292
14	8541
14	8623
14	9065
14	9806
14	10068
14	10210
14	10372
14	10444
14	12563
14	14418
14	14945
14	17540
14	18089
14	19093
14	19431
14	20773
14	20954
14	21064
14	22184
14	22669
14	22932
14	23269
14	23334
14	23582
14	23800
14	24317
14	25670
14	27497
14	27638
14	27803
14	28151
14	28801
14	29683
14	29805
14	32794
14	33172
14	33555
14	33679
14	33931
14	35443
14	38957
14	40457
14	40678
14	40750
14	40819
14	42445
14	44414
14	44471
14	45153
14	45458
14	45484
14	45934
14	47443
14	48054
14	48195
14	48802
14	49215
14	49839
14	50817
14	51027
14	51826
14	51991
14	52969
14	55036
14	55598
14	55656
14	55947
14	56365
14	56366
14	56541
14	56583
14	57613
14	57907
14	57995
14	58133
14	58227
14	59274
14	59883
14	59963
14	60534
14	60621
14	60828
14	62084
14	64005
14	64960
14	65163
14	65871
14	67463
14	71298
14	71511
14	74969
14	75580
14	78331
14	78435
14	79104
14	80109
14	81818
14	83262
14	83677
14	85498
14	85937
14	87382
14	90895
14	91094
14	91891
14	92888
14	93283
14	93328
14	95612
14	95640
14	95948
14	96937
14	97582
14	98432
14	99056
14	99200
15	29528
16	9612
16	49677
16	50471
16	83400
16	84812
16	89390
17	8530
17	93251
18	38616
19	8862
19	16868
19	20999
19	34144
19	47963
19	60376
20	4591
20	18598
20	32703
20	48824
20	56583
21	9853
21	69428
21	95887
22	84989
23	86348
24	45329
24	50998
24	91714
25	28150
26	44016
26	72291
27	31404
28	64066
28	68667
28	70985
29	8238
29	78853
29	79431
29	95379
30	76546
30	89497
31	22598
32	54249
32	77517
33	4474
33	33478
33	41203
33	70985
33	74856
33	93086
34	63297
34	92970
35	95633
36	37103
37	16930
37	46537
38	8662
38	63619
38	73005
38	74701
38	83934
39	6033
40	88706
41	9392
41	77126
41	97123
42	79381
42	87218
43	7233
43	15372
43	68975
43	83262
43	98996
44	2495
44	48720
45	129
45	73440
46	7787
46	66278
46	67412
47	3864
47	75163
48	72323
49	47043
50	1491
50	3638
50	5898
50	22528
50	42330
50	47572
50	62589
50	64609
50	74484
50	85508
50	91714
51	54149
51	76679
51	93012
52	55943
52	64011
53	56874
53	76018
54	16234
54	19007
54	24946
54	27590
54	31306
54	34167
54	57187
54	93247
55	8630
55	34890
55	94666
56	42996
57	47231
57	62847
57	91184
58	78927
58	99643
59	19297
60	61641
60	62672
61	17869
61	22528
61	67466
61	92911
61	98380
62	26662
62	66878
63	10266
63	39597
64	93892
65	53731
66	4882
66	23713
66	27780
66	77953
67	74025
67	75366
68	3864
68	61028
69	20389
70	72665
71	683
71	921
71	8343
71	9152
71	11126
71	11974
71	15587
71	19113
71	21709
71	21912
71	33920
71	36357
71	36364
71	41701
71	45783
71	48783
71	49389
71	49577
71	58242
71	67447
71	69281
71	74065
71	85348
71	88125
71	95295
71	96530
71	97887
71	99466
72	17512
72	29351
72	33291
72	36255
72	40081
72	63400
73	70950
74	969
74	78960
75	23153
75	96937
76	76458
77	82783
78	47520
78	50942
78	57283
78	97297
79	71530
80	3864
81	94418
82	43805
83	38716
83	65916
84	74441
85	9734
85	40593
85	52788
85	71708
85	90144
85	98486
86	16675
87	85643
88	55915
89	46340
89	73788
90	1759
91	7370
91	21334
91	28832
91	31502
91	39075
91	39840
91	51410
91	59925
91	64688
91	65949
91	92669
92	8177
92	44706
92	90520
93	79588
94	14798
94	46151
95	76759
96	11974
96	79097
97	19583
97	88254
97	99976
98	3864
98	11056
98	14542
98	16077
98	16663
98	28106
98	29464
98	32468
98	33594
98	33932
98	34128
98	48335
98	50386
98	56906
98	57723
98	62579
98	63651
98	74957
98	82350
98	91230
98	95093
98	96486
98	98996
99	3169
99	20183
99	25233
99	27835
99	47277
99	65503
99	65886
99	71273
99	76973
99	84441
99	92065
99	96397
100	65043
100	96232
101	25261
101	31312
101	34483
101	71511
101	73792
101	83573
102	9443
102	30733
102	75263
103	64432
103	68672
103	74258
103	98786
104	21856
104	23231
104	33829
104	53872
105	17147
105	43503
105	44591
106	67860
107	20145
107	91647
107	92529
108	88813
108	95204
109	33044
110	37044
111	13784
111	31938
111	47313
111	60523
111	92032
112	52256
112	62704
113	95307
114	39643
114	65898
114	86172
115	20410
115	34432
115	65006
115	65589
115	84811
115	88946
116	37902
117	70015
118	69347
119	23127
119	95044
120	53396
120	60568
120	63482
120	67100
120	95715
121	15345
121	45415
121	79019
121	94229
122	34104
123	7849
123	15518
123	77395
123	98996
124	81158
125	64550
126	188
126	526
126	1662
126	1696
126	3179
126	4458
126	4808
126	7115
126	9612
126	12040
126	12129
126	16115
126	17859
126	21055
126	21197
126	21840
126	22178
126	23740
126	23862
126	24196
126	24976
126	26098
126	29095
126	29707
126	30476
126	30980
126	31196
126	33670
126	36074
126	41500
126	42569
126	43746
126	50062
126	51845
126	52102
126	55237
126	55491
126	55755
126	56137
126	56627
126	56728
126	60545
126	61247
126	62766
126	64467
126	64856
126	68994
126	72385
126	73304
126	73792
126	74964
126	78866
126	79900
126	82230
126	82399
126	82680
126	82804
126	82911
126	86054
126	89439
126	89704
126	89866
126	90330
126	93556
126	96128
126	96531
126	98725
126	99733
126	99759
127	1343
127	91297
128	66282
129	3252
129	6519
129	84561
130	30212
131	14981
131	85867
132	25811
132	92203
133	20872
133	63931
133	96033
134	2908
135	1117
135	16474
135	63651
135	70509
135	74094
135	77444
136	2214
136	17008
136	24661
136	38373
136	41561
136	42268
136	45860
136	49148
136	50746
136	57391
136	59628
136	61065
136	64444
136	70193
136	76803
136	80811
136	81737
136	85333
136	88577
136	89584
136	91879
136	94929
137	13150
137	18596
138	54952
139	13815
139	78292
140	33200
140	73756
141	618
141	1182
141	3736
141	10719
141	16666
141	21115
141	36280
141	39714
141	86576
141	87618
141	97266
142	68274
143	67335
144	5741
144	42975
144	61830
144	69237
144	69253
144	76282
144	96627
145	84528
146	8949
147	18598
147	97839
148	26266
148	27113
148	38785
148	62447
149	13804
150	10210
150	22106
150	99609
151	15776
152	7686
153	22591
153	31320
153	32477
153	38104
153	45578
153	47277
153	78571
153	90363
153	95620
154	25766
154	73300
155	79182
156	7683
156	10372
156	57964
156	58257
157	15150
158	74469
158	89004
159	51202
160	24266
161	38362
161	98481
162	5584
162	45060
162	52563
162	55028
162	83847
163	36902
163	37208
163	72323
163	98569
164	20985
164	60413
165	22677
165	90748
166	10107
166	13872
166	30622
166	31714
166	34753
166	40606
166	40740
166	47514
166	52561
166	52788
166	59402
166	63636
166	72335
166	90438
167	1188
167	5127
168	36391
168	50273
168	61391
168	62705
168	91712
169	3547
169	10701
170	99461
171	28635
171	45070
172	7423
172	10508
172	78205
173	2373
173	20500
173	32634
173	50995
173	53167
173	66482
173	86764
173	89317
173	91356
173	92669
173	98438
174	25708
175	61720
176	29193
176	80149
177	2329
177	30092
178	30000
178	61247
179	9151
180	9986
180	24586
180	38115
180	70204
181	87537
182	30578
183	41471
184	13992
184	71275
184	86673
185	43023
186	54867
187	30678
188	756
188	48856
189	54997
190	74889
191	54002
192	10857
192	24410
192	29841
192	56516
192	75092
193	19178
193	27017
193	87114
194	25812
194	49365
194	68255
195	97714
196	8319
197	6327
198	31599
199	6490
199	90284
199	94403
200	4577
200	7280
200	8714
200	23343
200	81238
200	84475
200	87615
200	88169
201	16810
201	41387
201	47277
201	53605
201	57835
201	58575
201	59790
202	35767
202	80244
202	85519
203	34567
203	47685
204	40224
204	90657
205	34131
206	28728
